Page	Section	Field	RU	EN
Услуги	Бренд-стратегия / исследование	заголовок	Исследование	
Услуги	Бренд-стратегия / исследование	абзац 1	Бренд не сферический конь в вакууме: вокруг всегда есть контекст, в котором компания находится и развивается. Люди, рынок, тренды в индустрии — всё это влияет на восприятие.	
Услуги	Бренд-стратегия / исследование	абзац 2	Мы проводим исследование рынка, конкурентов и аудитории. Это помогает бренду определить точки дифференциации, занять сильную позицию и быть понятным людям.	
Услуги	Бренд-стратегия / исследование	пример	карта категории	
Услуги	Бренд-стратегия / исследование	пример	портрет аудитории	
Услуги	Бренд-стратегия / нейминг и регистрация	пункт (label)	нейминг и регистрация	
Услуги	Бренд-стратегия / нейминг и регистрация	заголовок	Нейминг и регистрация	
Услуги	Бренд-стратегия / нейминг и регистрация	абзац 1	В название можно влюбиться на брейншторме, а после — выяснить, что оно конфликтует со стратегией или его невозможно зарегистрировать.	
Услуги	Бренд-стратегия / нейминг и регистрация	абзац 2	Мы генерируем варианты, отсеиваем лонги до шорт-листов, проверяем лингвистику и восприятие. Дальше юрист проверяет по базам и ведёт регистрацию товарного знака до свидетельства.	
Услуги	Бренд-стратегия / нейминг и регистрация	пример	словарь смыслов	
Услуги	Бренд-стратегия / нейминг и регистрация	пример	тест на регистрацию	
Услуги	Бренд-стратегия / нейминг и регистрация	пример	фонетический тест	
Услуги	Визуальные системы	заголовок услуги	Визуальные системы	
Услуги	Визуальные системы	CTA	обсудить с арт-директором	
Услуги	Визуальные системы / фирменный стиль	пункт (label)	фирменный стиль	
Услуги	Визуальные системы / фирменный стиль	заголовок	Фирменный стиль	
Услуги	Визуальные системы / фирменный стиль	абзац 1	Проектируем визуальную систему: логотип, цвет, типографику, паттерны, фотостиль. Всё, что формирует узнаваемость бренда.	
Услуги	Визуальные системы / фирменный стиль	абзац 2	Разрабатываем не отдельные элементы, а систему — с логикой, правилами и примерами применения.	
Услуги	Визуальные системы / фирменный стиль	пример	логотип-конструктор	
Услуги	Визуальные системы / фирменный стиль	пример	тон голоса	
Услуги	Визуальные системы / библиотеки и гайды	пункт (label)	библиотеки и гайды	
Услуги	Визуальные системы / библиотеки и гайды	заголовок	Библиотеки и гайды	
Услуги	Визуальные системы / библиотеки и гайды	абзац 1	Создаём компонентные библиотеки в Figma и брендбуки, которыми команда пользуется каждый день.	
Услуги	Визуальные системы / библиотеки и гайды	абзац 2	Гайды пишем под реальные задачи: как сделать пост, презентацию, баннер — не теория, а рабочий инструмент.	
Услуги	Визуальные системы / библиотеки и гайды	пример	figma-библиотека	
Услуги	Визуальные системы / инструменты	пункт (label)	инструменты	
Услуги	Визуальные системы / инструменты	заголовок	Инструменты	
Услуги	Визуальные системы / инструменты	абзац 1	Разрабатываем шаблоны презентаций, постов, коммерческих предложений и других документов в фирменном стиле.	
Услуги	Визуальные системы / инструменты	абзац 2	Конструкторы позволяют маркетологам самостоятельно собирать материалы, не нарушая бренд.	
Услуги	Визуальные системы / инструменты	пример	шаблоны презентаций	
Услуги	Визуальные системы / инструменты	пример	конструктор баннеров	
Услуги	Визуальные системы / инструменты	пример	ии-ускоритель	
Услуги	Цифровой дизайн	заголовок услуги	Цифровой дизайн	
Услуги	Цифровой дизайн	CTA	обсудить с командой	
Услуги	Цифровой дизайн / лендинги и сайты	пункт (label)	лендинги и сайты	
Услуги	Цифровой дизайн / лендинги и сайты	заголовок	Лендинги и сайты	
Услуги	Цифровой дизайн / лендинги и сайты	абзац 1	Проектируем и разрабатываем сайты: от лендингов до сложных продуктовых страниц.	
Услуги	Цифровой дизайн / лендинги и сайты	абзац 2	Дизайн и разработка внутри одной команды — без потерь при передаче.	
Услуги	Цифровой дизайн / лендинги и сайты	пример	лендинг для стартапа	
Услуги	Цифровой дизайн / лендинги и сайты	пример	продуктовый сайт	
Услуги	Цифровой дизайн / интерфейсы	пункт (label)	интерфейсы	
Услуги	Цифровой дизайн / интерфейсы	заголовок	Интерфейсы	
Услуги	Цифровой дизайн / интерфейсы	абзац 1	Проектируем пользовательские интерфейсы для веб-приложений, мобильных продуктов и B2B-платформ.	
Услуги	Цифровой дизайн / интерфейсы	абзац 2	От исследования и прототипа до готовой дизайн-системы с компонентами в Figma.	
Услуги	Цифровой дизайн / интерфейсы	пример	b2b-платформа	
Услуги	Цифровой дизайн / интерфейсы	пример	мобильное приложение	
Услуги	Цифровой дизайн / интерфейсы	пример	дизайн-система	
Услуги	Цифровой дизайн / спецпроекты	пункт (label)	спецпроекты	
Услуги	Цифровой дизайн / спецпроекты	заголовок	Спецпроекты	
Услуги	Цифровой дизайн / спецпроекты	абзац 1	Делаем нестандартные digital-форматы: промо-сайты, интерактивные истории, конфигураторы и игровые механики.	
Услуги	Цифровой дизайн / спецпроекты	абзац 2	Каждый спецпроект — отдельная задача с собственной механикой и визуальным языком.	
Услуги	Цифровой дизайн / спецпроекты	пример	промо-сайт	
Услуги	Цифровой дизайн / спецпроекты	пример	интерактивная история	
Кейсы	page	заголовок	Кейсы	
Кейсы	tabs	таб	Брендинг	
Кейсы	tabs	таб	Диджитал	
Кейсы	case 1	title	Брендинг AliExpress	
Кейсы	case 1	desc	Исследования рынка, категории и целевой аудитории.	
Кейсы	case 2	title	Gate Legal	
Кейсы	case 2	desc	Платформа бренда и визуальная идентичность	
Кейсы	case 3	title	Senior's Platform	
Кейсы	case 3	desc	Дизайн-система и интерфейсы	
Кейсы	case 4	title	Юрий Мурадян	
Кейсы	case 4	desc	Персональный брендинг	
Кейсы	case 5	title	Futura Digital	
Кейсы	case 5	desc	Нейминг и регистрация, платформа бренда	
Кейсы	case 6	title	Digital Experience	
Кейсы	case 6	desc	Исследования и автоматизация процессов	
Кейсы	case 7	title	Nova Brand	
Кейсы	case 7	desc	Визуальная идентичность и система	
Кейсы	case 8	title	Orbit Studio	
Кейсы	case 8	desc	Концепция сайта и дизайн-библиотека	
Кейсы	case 9	title	Interface Pro	
Кейсы	case 9	desc	Дизайн-система для мобильных приложений	
Кейсы	case 10	title	Digital Platform	
Кейсы	case 10	desc	Веб-платформа и пользовательский опыт	
Кейс (шаблон)	page	заголовок	Название проекта	
Кейс (шаблон)	блок 1	описание	Краткое описание проекта и ключевых задач. Что было сделано, каких результатов достигли.	
Кейс (шаблон)	блок 2	описание	Описание деталей визуального решения и подхода к разработке дизайн-системы.	
Кейс (шаблон)	следующий кейс	label	Следующий кейс	
Кейс (шаблон)	следующий кейс	название	Название следующего кейса	
Кейс (шаблон)	следующий кейс	ссылка	Перейти	
Кейс (шаблон)	команда	label	Над проектом работали:	
Кейс (шаблон)	команда	name	Аша Саакян	
Кейс (шаблон)	команда	name	Рузана Пшигонова	
Кейс (шаблон)	команда	name	Кирилл Жуков	
Кейс (шаблон)	команда	name	Елена Новикова	
Студия (Lab)	page	заголовок	Skip Design	
Студия (Lab)	карточка 1	title	Написали статью о том, как ИИ генерирует метафоры	
Студия (Lab)	карточка 1	meta	май 2026	
Студия (Lab)	карточка 1	link	Workspace	
Студия (Lab)	карточка 2	title	Сделали конструктор миссии и выложили в открытом доступе	
Студия (Lab)	карточка 2	meta	Figma	
Студия (Lab)	карточка 2	link	открыть	
Студия (Lab)	карточка 3	title	Арт-директор Аша и стратег Ксения провели открытый вебинар.	
Студия (Lab)	карточка 3	meta	Телеграм-канал	
Студия (Lab)	карточка 3	link	смотреть	
Студия (Lab)	интро	абзац	Skip Design — студия цифрового дизайна. Скипаем все, что мешает проявиться суть.	
Студия (Lab)	интро	ссылка	телеграм канал	
Студия (Lab)	люди	name (лево)	Елена Новикова	
Студия (Lab)	люди	experience label (лево)	опыт	
Студия (Lab)	люди	experience value (лево)	8 лет	
Студия (Lab)	люди	name (право)	Максим Кузнецов	
Студия (Lab)	люди	experience label (право)	опыт	
Студия (Lab)	люди	experience value (право)	10 лет	
Студия (Lab)	карточка 4	title	Рабочий стол арт-директора	
Студия (Lab)	карточка 5	title	Сделали спецпроект Kon' Ogon'	
Студия (Lab)	карточка 5	link	перейти	
Политика	page	заголовок	Политика конфиденциальности	
Политика	абзац	текст	Этот документ определяет политику ИП Саакян Ашхен Арменовны в области обработки персональных данных.	
Политика	абзац	текст	Оператор разработал Политику в соответствии с законодательством РФ для защиты персональных данных. Политика действует в отношении всех персональных данных, которые Оператор может получить от субъекта персональных данных.	
Политика	абзац	текст	Если вы не согласны с Политикой, пожалуйста, не направляйте персональные данные Оператору. При наличии любых вопросов о содержании Политики или запросов в части персональных данных просим направлять запрос на адрес электронной почты: hi@skip.design.	
Политика	абзац	текст (термины)	Далее мы используем следующие термины: Сайт — https://www.skip.design/ Пользователь — дееспособный посетитель Сайта; Оператор или Мы — ИП Саакян Ашхен Арменовна; Политика — этот документ.	
Политика	Основания обработки персональных данных	заголовок	Основания обработки персональных данных	
Политика	Основания обработки персональных данных	абзац	Персональные данные обрабатываются при наличии согласия субъекта персональных данных или на основании договора в объеме, предусмотренном таким договором.	
Политика	Основания обработки персональных данных	абзац	В частности, используя Сайт, вы можете предоставить согласие на обработку персональных данных: — путем согласия с использованием cookie файлов; — путем отражения своих персональных данных в форме обратной связи.	
Политика	Основания обработки персональных данных	абзац	Пожалуйста, ознакомьтесь с Политикой и текстом согласия на обработку персональных данных перед предоставлением согласия на обработку персональных данных. В том случае, если вы предоставили персональные данные по ошибке, вы можете обратиться по адресу электронной почты, указанной в Политике, с запросом на уничтожение ваших персональных данных.	
Политика	Категории персональных данных и цели обработки	заголовок	Категории персональных данных и цели обработки	
Политика	Категории персональных данных и цели обработки	абзац	Оператор может обрабатывать следующие персональные данные: — технические данные: IP-адрес, вид операционной системы, тип браузера, поставщик доступа в интернет, геолокация; — файлы cookies; — сведения о поведении Пользователя на сайте; — контактные данные: фамилия, имя и отчество, компания и должность, номер телефона, адрес электронной почты, аккаунт в мессенджерах.	
Политика	Категории персональных данных и цели обработки	абзац	Иные персональные данные Оператор может обрабатывать на основании договора с субъектом персональных данных или на основании отдельного согласия на обработку персональных данных.	
Политика	Категории персональных данных и цели обработки	абзац	Оператор обрабатывает персональные данные в следующих целях: — обеспечение работоспособности и функциональности Сайта, улучшение пользовательского опыта; — обработка заявок с Сайта о потенциальном сотрудничестве; — направление адресной информации информационного и рекламного содержания, а также обсуждение условий работы и сотрудничества, коллабораций, маркетинговых активностей; — предоставление отзыва об услугах клиентов и партнеров Оператора.	
Политика	Категории персональных данных и цели обработки	абзац	Оператор также может обрабатывать персональные данные в иных целях на основании договора с субъектом персональных данных или письменного согласия, в частности, для заключения и исполнения договоров с клиентами, контрагентами и партнерами.	
Политика	Cookie и иные средства веб-аналитики	заголовок	Cookie и иные средства веб-аналитики	
Политика	Cookie и иные средства веб-аналитики	абзац	Cookie — это файлы, которые создаются и сохраняются браузером при посещении сайтов. Cookie-файлы позволяют нам отслеживать качество работы сайта и характеристики их использования, а также оптимизировать маркетинговые активности в интернете.	
Политика	Cookie и иные средства веб-аналитики	абзац	На сайте используются два типа cookie файлов: технические и функциональные. Эти файлы используются для обеспечения бесперебойной работы сайтов, а также для запоминания выбранных настроек.  Маркетинговые и аналитические. На сайте используются решения Яндекс.Метрика для сбора и статистического анализа данных, связанных с использованием сайтов.	
Политика	Cookie и иные средства веб-аналитики	абзац	По умолчанию настройки большинства браузеров позволяют принимать cookie-файлы. Если вы не согласны с использованием cookie, вы можете настроить запрет cookie или их удаление в настройках вашего браузера, однако это может отразиться на функциональности сайта.	
Политика	Cookie и иные средства веб-аналитики	абзац	Сервис «Яндекс.Метрика» принадлежит ООО «Яндекс», адрес: 119021, Россия, Москва, ул. Льва Толстого, д. 16. Информация, хранящаяся в файлах cookie, передаётся и сохраняется на сервисах ООО «Яндекс». При использовании Сайта Пользователь даёт согласие Оператору на обработку и передачу сведений указанной компании. При этом Пользователь может заблокировать Яндекс.Метрика, информация размещена по ссылке: https://yandex.ru/support/metrica/ru/general/opt-out.	
Политика	Способы обработки персональных данных	заголовок	Способы обработки персональных данных	
Политика	Способы обработки персональных данных	абзац	Мы обрабатываем персональные данные как в цифровой форме (автоматизировано), так и вручную (без использования средств автоматизации).	
Политика	Способы обработки персональных данных	абзац	Способы обработки: сбор; систематизация; накопление; хранение; уточнение (обновление, изменение); обезличивание; уничтожение.	
Политика	Срок обработки персональных данных	заголовок	Срок обработки персональных данных	
Политика	Срок обработки персональных данных	абзац	Мы обрабатываем персональные данные до тех пор, пока не достигнуты цели их обработки или не истёк срок действия согласия на обработку персональных данных. По истечении указанных сроков мы можем обрабатывать персональные данные только если обработка необходима для соблюдения нами законодательства, в частности требований бухгалтерского и налогового учёта.	
Политика	Срок обработки персональных данных	абзац	В любой момент вы можете отозвать согласие на обработку персональных данных, а также воспользоваться иными правами, предусмотренными законодательством о персональных данных. Для этого напишите нам по адресу электронной почты, указанной в Политике. Мы ответим вам в течение 15 рабочих дней.	
Политика	Срок обработки персональных данных	абзац	Уничтожение персональных данных осуществляется путём уничтожения материального носителя (бумаги) с использованием шредера, или путём полного удаления данных в электронном виде.	
Политика	Охрана персональных данных	заголовок	Охрана персональных данных	
Политика	Охрана персональных данных	абзац	Оператор предпринимает все необходимые меры, направленные на соблюдение законодательства о персональных данных. В частности, приоритетом Оператора является обеспечение организационных и технических мер, направленных на защиту персональных данных.	
Политика	Охрана персональных данных	абзац	В наших внутренних документах, а также в соглашениях с контрагентами мы определяем обязательные для исполнения процедуры, направленные на защиту персональных данных и прав субъектов персональных данных.	
Политика	Охрана персональных данных	абзац	Также для защиты персональных данных и прочей информации мы предпринимаем следующие меры: разрабатываем и соблюдаем внутренние документы по вопросам обработки персональных данных, процедуры предотвращения и выявления нарушений законодательства, устранения их последствий; используем современные технические средства и программные комплексы, принимаем организационные меры для защиты персональных данных от несанкционированного доступа, неправомерной обработки или передачи, а также от утери, искажения или уничтожения; определяем правила доступа к персональным данным, минимизируем и предоставляем доступ только в случаях действительной необходимости; оцениваем эффективность и регулярно пересматриваем принимаемые меры.	
Политика	Охрана персональных данных	абзац	Мы обеспечиваем локализацию персональных данных на территорию РФ и не используем базы данных, расположенные за её пределами, за исключением случаев, предусмотренных законодательством. Мы передаём персональные данные третьим лицам только в случае, если Пользователь прямо выразил на это согласие в письменной форме, или если это предусмотрено законодательством РФ.	
Политика	Охрана персональных данных	абзац	Если Оператор установит факт неправомерной утечки персональных данных, Оператор предпримет действия, предусмотренные законодательством РФ. В частности, в таком случае Оператор уведомит об инциденте Роскомнадзор, проведёт внутреннее расследование и выполнит все предписания регулятора.	
Политика	Права и ограничения Пользователя	заголовок	Права и ограничения Пользователя	
Политика	Права и ограничения Пользователя	абзац	Мы уважаем и соблюдаем ваши права.	
Политика	Права и ограничения Пользователя	абзац	Право на получение информации. Вы вправе запрашивать у Оператора сведения, которые касаются обработки ваших персональных данных. В том числе вы можете запросить копию ваших персональных данных, которые хранит и обрабатывает Оператор.  Право на уточнение или внесение изменений в персональные данные. Вы можете запросить внесение изменений или уточнений в части ваших персональных данных, мы актуализируем их в соответствии с данной информацией.  Право на отзыв согласия. В любой момент вы можете отозвать своё согласие на обработку данных. В случае отзыва согласия мы прекращаем обработку персональных данных, за исключением случаев, когда у нас имеются иные основания для их обработки.  Право на запрет неправомерной обработки. Если вы считаете обработку своих данных Оператором неправомерной, вы вправе обратиться к Оператору для устранения возможного нарушения или прекращения обработки ваших данных.	
Политика	Права и ограничения Пользователя	абзац	Мы просим вас предоставлять Оператору исключительно ваши персональные данные в том объёме, в котором это необходимо для выбранного способа взаимодействия и комфортно вам. Пожалуйста, не предоставляйте Оператору персональные данные третьих лиц без наличия их согласия.	
Политика	Права и ограничения Пользователя	абзац	Оператор не проверяет дееспособность Пользователя и достоверность представленных Пользователем персональных данных.	
Политика	Заключительные положения	заголовок	Заключительные положения	
Политика	Заключительные положения	абзац	Политика публикуется на сайте https://www.skip.design/  Оператор может вносить изменения в Политику. Любые запросы и вопросы в части обработки персональных данных вы можете направить по адресу электронной почты Оператора: hi@skip.design. Мы ответим в течение 15 рабочих дней.	
Политика	реквизиты	текст	ИП Саакян Ашхен Арменовна, ИНН 910700287536, ОГРНИП 319911200010480 Адрес: Санкт-Петербург, Ленинский 168, 708	
